 0.00000000e+00  1.66200000e+00  0.00000000e+00  1.65000000e+00 
 1.00000000e-11  1.66200000e+00  1.00000000e-11  1.65000000e+00 
 2.00000000e-11  1.66200000e+00  2.00000000e-11  1.65000000e+00 
 4.00000000e-11  1.66200000e+00  4.00000000e-11  1.65000000e+00 
 8.00000000e-11  1.66200000e+00  8.00000000e-11  1.65000000e+00 
 1.60000000e-10  1.66200000e+00  1.60000000e-10  1.65000000e+00 
 3.20000000e-10  1.66200000e+00  3.20000000e-10  1.65000000e+00 
 5.91117025e-10  1.66200000e+00  5.91117025e-10  1.65000000e+00 
 9.37278321e-10  1.66200000e+00  9.37278321e-10  1.65000000e+00 
 1.00000000e-09  1.66200000e+00  1.00000000e-09  1.65000000e+00 
 1.06923226e-09  1.66200000e+00  1.06923226e-09  1.65000000e+00 
 1.20769678e-09  1.66200000e+00  1.20769678e-09  1.65000000e+00 
 1.48462581e-09  1.66200000e+00  1.48462581e-09  1.65000000e+00 
 1.91400148e-09  1.66200000e+00  1.91400148e-09  1.65000000e+00 
 2.39888060e-09  1.66200000e+00  2.39888060e-09  1.65000000e+00 
 2.76272284e-09  1.66200000e+00  2.76272284e-09  1.65000000e+00 
 3.09020635e-09  1.66200000e+00  3.09020635e-09  1.65000000e+00 
 3.43145340e-09  1.66200000e+00  3.43145340e-09  1.65000000e+00 
 3.78727729e-09  1.66200000e+00  3.78727729e-09  1.65000000e+00 
 4.24891629e-09  1.66200000e+00  4.24891629e-09  1.65000000e+00 
 4.71048988e-09  1.66200000e+00  4.71048988e-09  1.65000000e+00 
 5.22632622e-09  1.66200000e+00  5.22632622e-09  1.65000000e+00 
 5.70405987e-09  1.66200000e+00  5.70405987e-09  1.65000000e+00 
 6.20317885e-09  1.66200000e+00  6.20317885e-09  1.65000000e+00 
 6.73268044e-09  1.66200000e+00  6.73268044e-09  1.65000000e+00 
 7.52226763e-09  1.66200000e+00  7.52226763e-09  1.65000000e+00 
 8.39771882e-09  1.66200000e+00  8.39771882e-09  1.65000000e+00 
 9.66396327e-09  1.66200000e+00  9.66396327e-09  1.65000000e+00 
 1.13293005e-08  1.66200000e+00  1.13293005e-08  1.65000000e+00 
 1.36064198e-08  1.66200000e+00  1.36064198e-08  1.65000000e+00 
 1.68465744e-08  1.66200000e+00  1.68465744e-08  1.65000000e+00 
 2.13107176e-08  1.66200000e+00  2.13107176e-08  1.65000000e+00 
 2.52010917e-08  1.66200000e+00  2.52010917e-08  1.65000000e+00 
 2.95609267e-08  1.66200000e+00  2.95609267e-08  1.65000000e+00 
 3.43275863e-08  1.66200000e+00  3.43275863e-08  1.65000000e+00 
 3.94101725e-08  1.66200000e+00  3.94101725e-08  1.65000000e+00 
 4.43211623e-08  1.66200000e+00  4.43211623e-08  1.65000000e+00 
 4.96790171e-08  1.66200000e+00  4.96790171e-08  1.65000000e+00 
 5.58412957e-08  1.66200000e+00  5.58412957e-08  1.65000000e+00 
 6.33920220e-08  1.66200000e+00  6.33920220e-08  1.65000000e+00 
 7.25981489e-08  1.66200000e+00  7.25981489e-08  1.65000000e+00 
 8.38988058e-08  1.66200000e+00  8.38988058e-08  1.65000000e+00 
 9.54873527e-08  1.66200000e+00  9.54873527e-08  1.65000000e+00 
 1.10484837e-07  1.66200000e+00  1.10484837e-07  1.65000000e+00 
 1.28579568e-07  1.66200000e+00  1.28579568e-07  1.65000000e+00 
 1.47183188e-07  1.66200000e+00  1.47183188e-07  1.65000000e+00 
 1.72764241e-07  1.66200000e+00  1.72764241e-07  1.65000000e+00 
 2.06001014e-07  1.66200000e+00  2.06001014e-07  1.65000000e+00 
 2.48995404e-07  1.66200000e+00  2.48995404e-07  1.65000000e+00 
